"Concatenated","relaxed.arboreal","toepads"
"Congolacerta_vauereselli","1",0
"Conolophus_pallidus","0",0
"Conolophus_subcristatus","0",0
"Contomastix_lacertoides","0",0
"Copeoglossum_nigropunctatum","0",0
"Cophosaurus_texanus","0",0
"Cophotis_ceylanica","1",0
"Cophotis_dumbara","1",0
"Cordylosaurus_subtessellatus","0",0
"Cordylus_aridus","0",0
"Cordylus_beraduccii","0",0
"Cordylus_cordylus","0",0
"Cordylus_imkeae","0",0
"Cordylus_jonesii","1",0
"Cordylus_macropholis","1",0
"Cordylus_mclachlani","0",0
"Cordylus_meculae","0",0
"Cordylus_minor","0",0
"Cordylus_niger","0",0
"Cordylus_oelofseni","0",0
"Cordylus_rhodesianus","0",0
"Cordylus_tropidosternum","1",0
"Cordylus_ukingensis","1",0
"Cordylus_vittifer","0",0
"Correlophus_ciliatus","1",1
"Correlophus_sarasinorum","1",1
"Corucia_zebrata","1",0
"Coryphophylax_subcristatus","1",0
"Corytophanes_cristatus","1",0
"Corytophanes_percarinatus","1",0
"Crenadactylus_ocellatus","0",1
"Cricosaura_typica","0",0
"Crocodilurus_amazonicus","0",0
"Crossobamon_orientalis","0",0
"Crotaphytus_antiquus","0",0
"Crotaphytus_bicinctores","0",0
"Crotaphytus_collaris","0",0
"Crotaphytus_grismeri","0",0
"Crotaphytus_insularis","0",0
"Crotaphytus_nebrius","0",0
"Crotaphytus_reticulatus","0",0
"Crotaphytus_vestigium","0",0
"Cryptactites_peringueyi","1",1
"Cryptoblepharus_boutonii","1",0
"Cryptoblepharus_nigropunctatus","0",0
"Cryptoblepharus_novocaledonicus","0",0
"Ctenoblepharys_adspersa","0",0
"Ctenophorus_adelaidensis","0",0
"Ctenophorus_caudicinctus","0",0
"Ctenophorus_clayi","1",0
"Ctenophorus_cristatus","0",0
"Ctenophorus_decresii","0",0
"Ctenophorus_femoralis","0",0
"Ctenophorus_fionni","0",0
"Ctenophorus_fordi","0",0
"Ctenophorus_gibba","0",0
"Ctenophorus_isolepis","0",0
"Ctenophorus_maculatus","0",0
"Ctenophorus_maculosus","0",0
"Ctenophorus_mckenziei","0",0
"Ctenophorus_ornatus","0",0
"Ctenophorus_rufescens","0",0
"Ctenophorus_scutulatus","0",0
"Ctenophorus_tjantjalka","0",0
"Ctenophorus_vadnappa","0",0
"Ctenosaura_acanthura","1",0
"Ctenosaura_bakeri","1",0
"Ctenosaura_flavidorsalis","1",0
"Ctenosaura_hemilopha","1",0
"Ctenosaura_melanosterna","1",0
"Ctenosaura_oaxacana","1",0
"Ctenosaura_oedirhina","1",0
"Ctenosaura_palearis","1",0
"Ctenosaura_pectinata","1",0
"Ctenosaura_quinquecarinata","1",0
"Ctenosaura_similis","1",0
"Ctenotus_angusticeps","0",0
"Ctenotus_atlas","0",0
"Ctenotus_australis","0",0
"Ctenotus_brooksi","0",0
"Ctenotus_essingtonii","0",0
"Ctenotus_grandis","0",0
"Ctenotus_greeri","0",0
"Ctenotus_hanloni","0",0
"Ctenotus_hebetior","0",0
"Ctenotus_hilli","0",0
"Ctenotus_inornatus","0",0
"Ctenotus_labillardieri","0",0
"Ctenotus_leae","0",0
"Ctenotus_leonhardii","0",0
"Ctenotus_maryani","0",0
"Ctenotus_mimetes","0",0
"Ctenotus_nasutus","0",0
"Ctenotus_olympicus","0",0
"Ctenotus_pantherinus","0",0
"Ctenotus_piankai","0",0
"Ctenotus_pulchellus","0",0
"Ctenotus_quattuordecimlineatus","0",0
"Ctenotus_regius","0",0
"Ctenotus_robustus","0",0
"Ctenotus_rubicundus","0",0
"Ctenotus_rutilans","0",0
"Ctenotus_schomburgkii","0",0
"Ctenotus_serventyi","0",0
"Ctenotus_spaldingi","1",0
"Ctenotus_strauchii","0",0
"Ctenotus_taeniolatus","0",0
"Ctenotus_tanamiensis","0",0
"Ctenotus_uber","1",0
"Ctenotus_youngsoni","0",0
"Cyclodomorphus_branchialis","0",0
"Cyclodomorphus_casuarinae","0",0
"Cyclodomorphus_michaeli","0",0
"Cyclura_carinata","1",0
"Cyclura_collei","1",0
"Cyclura_cornuta","0",0
"Cyclura_cychlura","0",0
"Cyclura_nubila","1",0
"Cyclura_pinguis","0",0
"Cyclura_ricordi","0",0
"Cyclura_rileyi","1",0
"Cyrtodactylus_agusanensis","1",0
"Cyrtodactylus_angularis","0",0
"Cyrtodactylus_annulatus","1",0
"Cyrtodactylus_ayeyarwadyensis","1",0
"Cyrtodactylus_consobrinus","1",0
"Cyrtodactylus_epiroticus","1",0
"Cyrtodactylus_intermedius","1",0
"Cyrtodactylus_jarujini","1",0
"Cyrtodactylus_klugei","1",0
"Cyrtodactylus_loriae","1",0
"Cyrtodactylus_louisiadensis","1",0
"Cyrtodactylus_marmoratus","1",0
"Cyrtodactylus_novaeguineae","1",0
"Cyrtodactylus_oldhami","0",0
"Cyrtodactylus_philippinicus","1",0
"Cyrtodactylus_pulchellus","1",0
"Cyrtodactylus_robustus","1",0
"Cyrtodactylus_sermowaiensis","1",0
"Cyrtodactylus_triedrus","1",0
"Cyrtodactylus_tripartitus","1",0
"Cyrtodactylus_tuberculatus","0",0
"Cyrtopodion_agamuroides","0",0
"Cyrtopodion_scabrum","0",0
"Cyrtopodion_sistanense","0",0
"Dactylocnemis_pacificus","1",1
"Dalmatolacerta_oxycephala","0",0
"Darevskia_alpina","0",0
"Darevskia_armeniaca","0",0
"Darevskia_brauneri","0",0
"Darevskia_caucasica","0",0
"Darevskia_chlorogaster","1",0
"Darevskia_clarkorum","0",0
"Darevskia_daghestanica","0",0
"Darevskia_derjugini","0",0
"Darevskia_lindholmi","0",0
"Darevskia_mixta","0",0
"Darevskia_parvula","0",0
"Darevskia_portschinskii","0",0
"Darevskia_praticola","0",0
"Darevskia_raddei","0",0
"Darevskia_rostombekowi","0",0
"Darevskia_rudis","0",0
"Darevskia_saxicola","0",0
"Darevskia_uzzelli","0",0
"Darevskia_valentini","0",0
"Dasia_grisea","1",0
"Dasia_olivacea","1",0
"Dasia_vittata","1",0
"Dicrodon_guttulatum","1",0
"Dierogekko_inexpectatus","1",1
"Dierogekko_insularis","1",1
"Dierogekko_kaalaensis","1",1
"Dierogekko_nehoueensis","1",1
"Dierogekko_poumensis","1",1
"Dierogekko_validiclavis","1",1
"Dinarolacerta_montenegrina","0",0
"Dinarolacerta_mosorensis","0",0
"Diplodactylus_capensis","0",1
"Diplodactylus_conspicillatus","0",1
"Diplodactylus_fulleri","0",1
"Diplodactylus_galeatus","0",1
"Diplodactylus_granariensis","1",1
"Diplodactylus_klugei","0",1
"Diplodactylus_mitchelli","0",1
"Diplodactylus_ornatus","0",1
"Diplodactylus_polyophthalmus","0",1
"Diplodactylus_pulcher","0",1
"Diplodactylus_savagei","0",1
"Diplodactylus_tessellatus","0",1
"Diplodactylus_vittatus","0",1
"Diplolaemus_darwinii","0",0
"Diporiphora_albilabris","0",0
"Diporiphora_amphiboluroides","1",0
"Diporiphora_arnhemica","0",0
"Diporiphora_australis","1",0
"Diporiphora_bennettii","0",0
"Diporiphora_bilineata","1",0
"Diporiphora_lalliae","1",0
"Diporiphora_linga","1",0
"Diporiphora_magna","1",0
"Diporiphora_nobbi","1",0
"Diporiphora_pindan","1",0
"Diporiphora_reginae","1",0
"Diporiphora_superba","1",0
"Diporiphora_valens","1",0
"Diporiphora_winneckei","1",0
"Dipsosaurus_dorsalis","0",0
"Dixonius_melanostictus","0",1
"Dixonius_siamensis","1",1
"Dixonius_vietnamensis","0",1
"Dracaena_guianensis","0",0
"Draco_beccarii","1",0
"Draco_biaro","1",0
"Draco_bimaculatus","1",0
"Draco_blanfordii","1",0
"Draco_boschmai","1",0
"Draco_caerulhians","1",0
"Draco_cornutus","1",0
"Draco_cristatellus","1",0
"Draco_cyanopterus","1",0
"Draco_dussumieri","1",0
"Draco_fimbriatus","1",0
"Draco_guentheri","1",0
"Draco_haematopogon","1",0
"Draco_indochinensis","1",0
"Draco_lineatus","1",0
"Draco_maculatus","1",0
"Draco_maximus","1",0
"Draco_melanopogon","1",0
"Draco_mindanensis","1",0
"Draco_obscurus","1",0
"Draco_ornatus","1",0
"Draco_palawanensis","1",0
"Draco_quadrasi","1",0
"Draco_quinquefasciatus","1",0
"Draco_reticulatus","1",0
"Draco_rhytisma","1",0
"Draco_spilonotus","1",0
"Draco_spilopterus","1",0
"Draco_taeniopterus","1",0
"Draco_timoriensis","1",0
"Draco_volans","1",0
"Ebenavia_inunguis","1",1
"Ecpleopus_gaudichaudii","0",0
"Egernia_depressa","1",0
"Egernia_hosmeri","0",0
"Egernia_napoleonis","1",0
"Egernia_richardi","1",0
"Egernia_saxatilis","1",0
"Egernia_stokesii","1",0
"Elasmodactylus_tetensis","1",1
"Elasmodactylus_tuberculosus","1",1
"Elgaria_coerulea","0",0
"Elgaria_kingii","0",0
"Elgaria_multicarinata","0",0
"Elgaria_panamintina","0",0
"Elgaria_paucicarinata","0",0
"Emoia_atrocostata","0",0
"Emoia_caeruleocauda","1",0
"Emoia_concolor","1",0
"Emoia_cyanogaster","1",0
"Emoia_cyanura","1",0
"Emoia_impar","0",0
"Emoia_isolata","0",0
"Emoia_jakati","0",0
"Emoia_loyaltiensis","1",0
"Emoia_physicae","0",0
"Emoia_pseudocyanura","1",0
"Emoia_schmidti","1",0
"Emoia_tongana","1",0
"Enyalioides_heterolepis","0",0
"Enyalioides_laticeps","1",0
"Enyalioides_microlepis","0",0
"Enyalioides_palpebralis","1",0
"Enyalius_bilineatus","1",0
"Enyalius_leechii","1",0
"Eremias_argus","0",0
"Eremias_arguta","0",0
"Eremias_brenchleyi","0",0
"Eremias_grammica","0",0
"Eremias_montana","0",0
"Eremias_multiocellata","0",0
"Eremias_persica","0",0
"Eremias_pleskei","0",0
"Eremias_przewalskii","0",0
"Eremias_velox","0",0
